,rank,song,artist
0,1,Mood,24kGoldn Featuring iann dior
1,2,Positions,Ariana Grande
2,3,I Hope,Gabby Barrett Featuring Charlie Puth
3,4,Laugh Now Cry Later,Drake Featuring Lil Durk
4,5,Blinding Lights,The Weeknd
5,6,Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV
6,7,Holy,Justin Bieber Featuring Chance The Rapper
7,8,Dakiti,Bad Bunny & Jhay Cortez
8,9,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo
9,10,For The Night,Pop Smoke Featuring Lil Baby & DaBaby
10,11,WAP,Cardi B Featuring Megan Thee Stallion
11,12,Hawai,Maluma & The Weeknd
12,13,Go Crazy,Chris Brown & Young Thug
13,14,Rockstar,DaBaby Featuring Roddy Ricch
14,15,Kings & Queens,Ava Max
15,16,Before You Go,Lewis Capaldi
16,17,Dynamite,BTS
17,18,Watermelon Sugar,Harry Styles
18,19,More Than My Hometown,Morgan Wallen
19,20,Be Like That,Kane Brown With Swae Lee & Khalid
20,21,Lonely,Justin Bieber & benny blanco
21,22,Said Sum,Moneybagg Yo
22,23,ily,surf mesa Featuring Emilee
23,24,Bang!,AJR
24,25,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne"
25,26,Levitating,Dua Lipa Featuring DaBaby
26,27,Forever After All,Luke Combs
27,28,What You Know Bout Love,Pop Smoke
28,29,One Of Them Girls,Lee Brice
29,30,34+35,Ariana Grande
30,31,Love You Like I Used To,Russell Dickerson
31,32,Wonder,Shawn Mendes
32,33,One Beer,HARDY Featuring Lauren Alaina & Devin Dawson
33,34,Got What I Got,Jason Aldean
34,35,What That Speed Bout!?,"Mike WiLL Made-It, Nicki Minaj & YoungBoy Never Broke Again"
35,36,Happy Anywhere,Blake Shelton Featuring Gwen Stefani
36,37,Pretty Heart,Parker McCollum
37,38,Come & Go,Juice WRLD x Marshmello
38,39,Better Together,Luke Combs
39,40,Diamonds,Sam Smith
40,41,The Woo,Pop Smoke Featuring 50 Cent & Roddy Ricch
41,42,Rags2Riches,Rod Wave Featuring ATR Son Son
42,43,Adore You,Harry Styles
43,44,Midnight Sky,Miley Cyrus
44,45,pov,Ariana Grande
45,46,Roses,SAINt JHN
46,47,Took Her To The O,King Von
47,48,Starting Over,Chris Stapleton
48,49,I Should Probably Go To Bed,Dan + Shay
49,50,You Broke Me First.,Tate McRae
50,51,Lovin' On You,Luke Combs
51,52,Mr. Right Now,21 Savage & Metro Boomin Featuring Drake
52,53,Mood Swings,Pop Smoke Featuring Lil Tjay
53,54,Everywhere But On,Matt Stell
54,55,Franchise,Travis Scott Featuring Young Thug & M.I.A.
55,56,"Big, Big Plans",Chris Lane
56,57,Tyler Herro,Jack Harlow
57,58,Ain't Always The Cowboy,Jon Pardi
58,59,So Done,The Kid LAROI
59,60,My Ex's Best Friend,Machine Gun Kelly X blackbear
60,61,B.S.,Jhene Aiko Featuring H.E.R.
61,62,Some Girls,Jameson Rodgers
62,63,7 Summers,Morgan Wallen
63,64,Popstar,DJ Khaled Featuring Drake
64,65,Don't Need Friends,NAV Featuring Lil Baby
65,66,The Code,King Von Featuring Polo G
66,67,24,Money Man Featuring Lil Baby
67,68,U 2 Luv,Ne-Yo & Jeremih
68,69,Throat Baby (Go Baby),BRS Kash
69,70,Wishing Well,Juice WRLD
70,71,Hit Different,SZA Featuring Ty Dolla $ign
71,72,Martin & Gina,Polo G
72,73,Don't Stop,Megan Thee Stallion Featuring Young Thug
73,74,Good Time,Niko Moon
74,75,Champagne Night,Lady A
75,76,Tragic,The Kid LAROI Featuring YoungBoy Never Brok Again & Internet Money
76,77,All These N**gas,King Von Featuring Lil Durk
77,78,Golden,Harry Styles
78,79,Heather,Conan Gray
79,80,Motive,Ariana Grande Featuring Doja Cat
80,81,Crazy Story 2.0,King Von Featuring Lil Durk
81,82,Put Your Records On,Ritt Momney
82,83,Always Do,The Kid LAROI
83,84,Young Wheezy,NAV With Gunna
84,85,Runnin,21 Savage & Metro Boomin
85,86,Tap In,Saweetie
86,87,Hole In The Bottle,Kelsea Ballerini
87,88,Practice,DaBaby
88,89,Blind,DaBaby Featuring Young Thug
89,90,Relacion,"Sech, Daddy Yankee & J Balvin Featuring ROSALIA & Farruko"
90,91,Happy Does,Kenny Chesney
91,92,Kacey Talk,YoungBoy Never Broke Again
92,93,Beers And Sunshine,Darius Rucker
93,94,Therefore I Am,Billie Eilish
94,95,Off The Table,Ariana Grande Featuring The Weeknd
95,96,Take You Dancing,Jason Derulo
96,97,Whoopty,CJ
97,98,Just Like Magic,Ariana Grande
98,99,"F*ck You, Goodbye",The Kid LAROI Featuring Machine Gun Kelly
99,100,La Toxica,Farruko
